X,Y,speed,dir,AM_dir,QGIS_dir
714944.154853401,5189117.60735339,11.3,15,105,195
715345.214853401,5189117.60735339,10.4,8,98,188
715746.274853401,5189117.60735339,8.7,360,90,180
716147.334853401,5189117.60735339,7.9,0,90,180
716548.394853401,5189117.60735339,8.1,1,91,181
716949.454853401,5189117.60735339,8.2,358,88,178
717350.514853401,5189117.60735339,8.2,353,83,173
717751.574853401,5189117.60735339,8.7,351,81,171
718152.634853401,5189117.60735339,9.2,351,81,171
718553.694853401,5189117.60735339,9.8,360,90,180
718954.754853401,5189117.60735339,11.0,5,95,185
719355.814853401,5189117.60735339,11.5,2,92,182
719756.874853401,5189117.60735339,11.5,0,90,180
720157.934853401,5189117.60735339,11.9,2,92,182
720558.994853401,5189117.60735339,12.5,2,92,182
720960.054853401,5189117.60735339,12.6,359,89,179
721361.114853401,5189117.60735339,12.7,358,88,178
721762.174853401,5189117.60735339,12.7,358,88,178
722163.234853401,5189117.60735339,12.7,0,90,180
722564.294853401,5189117.60735339,12.2,2,92,182
722965.354853401,5189117.60735339,11.7,2,92,182
723366.414853401,5189117.60735339,11.5,1,91,181
723767.474853401,5189117.60735339,11.4,1,91,181
724168.534853401,5189117.60735339,11.5,2,92,182
724569.594853401,5189117.60735339,11.7,2,92,182
724970.654853401,5189117.60735339,11.9,1,91,181
725371.714853401,5189117.60735339,12.1,0,90,180
725772.774853401,5189117.60735339,12.4,1,91,181
726173.834853401,5189117.60735339,12.5,3,93,183
726574.894853401,5189117.60735339,12.1,3,93,183
726975.954853401,5189117.60735339,11.6,2,92,182
727377.014853401,5189117.60735339,11.5,3,93,183
727778.074853401,5189117.60735339,11.9,5,95,185
728179.134853401,5189117.60735339,12.4,6,96,186
728580.194853401,5189117.60735339,13.0,6,96,186
728981.254853401,5189117.60735339,13.5,6,96,186
729382.314853401,5189117.60735339,13.4,6,96,186
729783.374853401,5189117.60735339,12.4,5,95,185
730184.434853401,5189117.60735339,11.3,3,93,183
730585.494853401,5189117.60735339,10.6,359,89,179
730986.554853401,5189117.60735339,9.7,356,86,176
731387.614853401,5189117.60735339,9.3,354,84,174
731788.674853401,5189117.60735339,9.5,355,85,175
732189.734853401,5189117.60735339,9.5,357,87,177
732590.794853401,5189117.60735339,9.3,359,89,179
732991.854853401,5189117.60735339,9.1,359,89,179
733392.914853401,5189117.60735339,9.0,358,88,178
733793.974853401,5189117.60735339,9.5,359,89,179
734195.034853401,5189117.60735339,10.4,360,90,180
734596.094853401,5189117.60735339,11.3,355,85,175
734997.154853401,5189117.60735339,11.3,355,85,175
735398.214853401,5189117.60735339,12.0,351,81,171
735799.274853401,5189117.60735339,11.5,354,84,174
736200.334853401,5189117.60735339,10.6,355,85,175
736601.394853401,5189117.60735339,11.1,350,80,170
714944.154853401,5189518.66735339,12.2,11,101,191
715345.214853401,5189518.66735339,12.2,4,94,184
715746.274853401,5189518.66735339,11.9,357,87,177
716147.334853401,5189518.66735339,11.3,359,89,179
716548.394853401,5189518.66735339,10.6,0,90,180
716949.454853401,5189518.66735339,10.3,359,89,179
717350.514853401,5189518.66735339,10.8,359,89,179
717751.574853401,5189518.66735339,11.7,358,88,178
718152.634853401,5189518.66735339,12.9,359,89,179
718553.694853401,5189518.66735339,14.2,3,93,183
